distance,std,rssi,correlation,invalid_01,invalid_02
3,0.255319,-57,0.351354,0.306925,0.390132
3,0.194555,-63,0.734131,0.306925,0.390132
3,0.290551,-65,0.576690,0.304712,0.376184
3,0.234257,-65,0.544671,0.303809,0.376184
3,0.256440,-66,0.586751,0.302320,0.376184
3,0.370098,-67,0.354734,0.304574,0.376184
3,0.437927,-68,0.087845,0.306232,0.390132
3,0.252756,-67,0.341722,0.304983,0.390132
3,0.118750,-66,0.604990,0.302454,0.390132
3,0.186236,-67,0.412532,0.299369,0.390132
3,0.212600,-69,0.369504,0.298154,0.390132
3,0.409142,-69,0.195017,0.301862,0.409142
3,0.377334,-69,0.135325,0.301155,0.390132
3,0.297437,-67,0.401383,0.302081,0.390132
3,0.236071,-65,0.687853,0.299278,0.390132
3,0.245191,-65,0.687352,0.296057,0.377334
3,0.487965,-68,0.211328,0.297417,0.409142
3,0.607963,-67,-0.158547,0.308551,0.460550
3,0.117678,-60,0.783877,0.321111,0.490658
3,0.629041,-64,0.019906,0.327094,0.578391
3,0.432585,-64,0.220769,0.328721,0.578391
6,0.512115,-74,0.273474,0.357134,0.607963
6,0.386326,-71,0.338080,0.365533,0.607963
6,0.416313,-70,0.186229,0.369939,0.607963
6,0.252503,-68,0.578051,0.367684,0.578391
6,0.414111,-69,0.322334,0.358907,0.514300
6,0.248116,-69,0.537677,0.357397,0.514300
6,0.286025,-73,0.502850,0.351378,0.512115
9,0.257287,-72,0.461116,0.339468,0.521738
9,0.602869,-72,0.072994,0.348388,0.585106
9,0.280364,-73,0.356975,0.353306,0.585106
9,0.254767,-76,0.207340,0.350415,0.585106
9,0.461661,-75,0.387817,0.340423,0.585106
9,0.436556,-76,0.141232,0.342287,0.585106
9,0.143366,-76,0.644850,0.324308,0.585106
12,0.276846,-80,0.725282,0.324082,0.563288
12,0.377851,-71,0.345954,0.326271,0.563288
12,0.134301,-67,0.604420,0.317848,0.563288
12,0.239388,-68,0.412323,0.309133,0.563288
12,0.281649,-67,0.400454,0.295534,0.487995
12,0.188548,-68,0.552909,0.286466,0.461661
12,0.383529,-73,0.036729,0.284608,0.502225
15,0.188411,-71,0.447582,0.271801,0.435750
15,0.163556,-72,0.461404,0.262463,0.435750
15,0.143059,-72,0.654236,0.255593,0.435750
15,0.226671,-72,0.472818,0.251952,0.435750
15,0.413630,-73,0.318038,0.253463,0.435750
15,0.231569,-74,0.427589,0.256580,0.435750
15,0.173556,-74,0.587025,0.249890,0.435750
15,0.136680,-73,0.718538,0.242114,0.413688
18,0.233694,-76,0.566333,0.243534,0.413353
18,0.192320,-78,0.588733,0.237579,0.413353
18,0.177181,-78,0.424026,0.238454,0.413353
18,0.164854,-77,0.564018,0.237080,0.413353
18,0.247610,-77,0.476775,0.242677,0.413353
18,0.075896,-78,0.725130,0.220551,0.386040
18,0.221068,-77,0.640333,0.179078,0.284503
18,0.165113,-79,0.628653,0.182082,0.363387
21,0.519566,-77,0.022851,0.182596,0.358519
21,0.537790,-78,0.123344,0.193223,0.457796
21,0.322583,-78,0.414673,0.196010,0.457796
21,0.414670,-78,0.241376,0.205576,0.457796
21,0.400545,-74,0.229183,0.224109,0.519566
21,0.436401,-77,0.136301,0.227603,0.519566
21,0.422279,-78,0.073070,0.231484,0.519566
21,0.419625,-75,0.221418,0.276544,0.522749
21,0.435821,-76,0.120987,0.284003,0.522749
21,0.200629,-77,0.263335,0.291944,0.522749
21,0.212336,-76,0.387151,0.294638,0.522749
21,0.390931,-74,0.208462,0.315532,0.522749
